,datum,average_landpm10,average_landpm2_5,average_stadtpm10,average_stadtpm2_5,total_average
0,2022-04-07,1.734,0.618,4.498333333333334,1.4349999999999998,2.0713333333333335
1,2022-04-09,4.394,2.252,4.542666666666667,1.7926666666666669,3.2453333333333334
2,2022-04-11,13.8825,3.2,6.654444444444445,2.552222222222222,6.572291666666667
3,2022-04-13,7.43,3.4299999999999997,17.67375,8.693750000000001,9.306875
4,2022-04-17,2.8340000000000005,1.8040000000000003,4.3412500000000005,2.15,2.7823125
5,2022-04-19,3.4225000000000003,2.1575,5.0566666666666675,3.5483333333333333,3.54625
6,2022-04-21,14.224999999999998,8.485,11.413999999999998,4.726,9.712499999999999
7,2022-04-25,10.672,7.360000000000001,7.91,4.544166666666667,7.621541666666667
8,2022-04-27,5.836,4.116,9.860666666666667,5.902666666666667,6.428833333333333
9,2022-05-07,4.326,2.7220000000000004,10.74,7.2219999999999995,6.2524999999999995
10,2022-05-09,4.535,2.6125000000000003,7.877,4.526999999999999,4.887874999999999
11,2022-05-13,5.533333333333334,2.4566666666666666,5.72125,2.475,4.0465625
12,2022-05-15,3.0933333333333333,1.876666666666667,4.9719999999999995,2.084,3.0065
13,2022-05-17,2.9499999999999997,1.3933333333333333,9.585833333333332,3.9958333333333336,4.481249999999999
14,2022-05-19,3.7159999999999997,2.3600000000000003,7.190666666666667,3.822,4.272166666666667
15,2022-05-21,2.5500000000000003,1.145,9.083333333333334,3.6816666666666666,4.115
16,2022-05-23,4.1825,1.5625,6.072500000000001,2.63125,3.6121875
17,2022-05-25,2.19,0.9325,3.7399999999999998,1.4060000000000001,2.067125
18,2022-05-27,3.825,1.35,7.679166666666667,2.6825,3.884166666666667
19,2022-05-29,4.3,1.2719999999999998,6.597000000000001,2.8920000000000003,3.76525
20,2022-06-05,3.1566666666666663,2.1033333333333335,7.88,7.153333333333333,5.073333333333333
21,2022-06-07,2.434,1.4659999999999997,8.886,4.753,4.38475
22,2022-06-09,5.54,2.6375,19.438,5.3469999999999995,8.240625
23,2022-06-13,3.4066666666666667,1.34,5.366666666666667,1.875,2.9970833333333333
24,2022-06-19,9.693333333333333,4.8566666666666665,12.388750000000002,4.29375,7.808125
25,2022-06-21,5.101999999999999,2.652,6.7925,2.49,4.259125
26,2022-06-23,6.206000000000001,1.8719999999999999,5.8340000000000005,3.278,4.2975
27,2022-06-27,2.895,1.7499999999999998,12.813333333333334,10.183333333333332,6.910416666666666
28,2022-07-03,1.875,1.1525,5.691333333333333,2.289333333333333,2.7520416666666665
29,2022-07-05,3.026,1.1260000000000001,5.079166666666667,1.9049999999999998,2.7840416666666665
30,2022-07-07,3.4200000000000004,2.1,7.256666666666668,3.464,4.0601666666666665
