"createdAt","value_1","id_1","value_2","id_2","value_3","id_3","value_4","id_4","value_5","id_5"
"2022-04-07T","0.87","598b2f86e3b1fa0010f0f8d4","2","5fb143a69b2df8001bb4a8e8","4.68","5fb65cc67a70a5001cc16162","0.9","5df532463a2923001fde4f64","0.52","5fbed0927a70a5001c80494f"
"2022-04-07T","0.87","598b2f86e3b1fa0010f0f8d4","2","5fb143a69b2df8001bb4a8e8","4.68","5fb65cc67a70a5001cc16162","0.3","5df532463a2923001fde4f64","0.52","5fbed0927a70a5001c80494f"
"2022-04-09T","7.2","598b2f86e3b1fa0010f0f8d4","6.57","5fb143a69b2df8001bb4a8e8","2.75","5fb65cc67a70a5001cc16162","1.4","5df532463a2923001fde4f64","3.85","5fbed0927a70a5001c80494f"
"2022-04-09T","7.2","598b2f86e3b1fa0010f0f8d4","6.57","5fb143a69b2df8001bb4a8e8","2.75","5fb65cc67a70a5001cc16162","1.8","5df532463a2923001fde4f64","3.85","5fbed0927a70a5001c80494f"
"2022-04-11T","7.1","598b2f86e3b1fa0010f0f8d4","5.03","5fb143a69b2df8001bb4a8e8",NULL,NULL,"3.1","5df532463a2923001fde4f64","41.35","5fbed0927a70a5001c80494f"
"2022-04-11T","7.1","598b2f86e3b1fa0010f0f8d4","5.03","5fb143a69b2df8001bb4a8e8",NULL,NULL,"1","5df532463a2923001fde4f64","41.35","5fbed0927a70a5001c80494f"
"2022-04-13T","6.73","598b2f86e3b1fa0010f0f8d4","7.82","5fb143a69b2df8001bb4a8e8","9.2","5fb65cc67a70a5001cc16162","7","5df532463a2923001fde4f64","6.15","5fbed0927a70a5001c80494f"
"2022-04-13T","6.73","598b2f86e3b1fa0010f0f8d4","7.82","5fb143a69b2df8001bb4a8e8","9.2","5fb65cc67a70a5001cc16162","7.5","5df532463a2923001fde4f64","6.15","5fbed0927a70a5001c80494f"
"2022-04-15T","19.23","598b2f86e3b1fa0010f0f8d4",NULL,NULL,"7.57","5fb65cc67a70a5001cc16162","10.4","5df532463a2923001fde4f64",NULL,NULL
"2022-04-15T","19.23","598b2f86e3b1fa0010f0f8d4",NULL,NULL,"7.57","5fb65cc67a70a5001cc16162","5.7","5df532463a2923001fde4f64",NULL,NULL
"2022-04-17T","3.27","598b2f86e3b1fa0010f0f8d4","2.95","5fb143a69b2df8001bb4a8e8","4","5fb65cc67a70a5001cc16162","3.4","5df532463a2923001fde4f64","0.8","5fbed0927a70a5001c80494f"
"2022-04-17T","3.27","598b2f86e3b1fa0010f0f8d4","2.95","5fb143a69b2df8001bb4a8e8","4","5fb65cc67a70a5001cc16162","2.9","5df532463a2923001fde4f64","0.8","5fbed0927a70a5001c80494f"
"2022-04-19T","4.57","598b2f86e3b1fa0010f0f8d4","2.92","5fb143a69b2df8001bb4a8e8","4.95","5fb65cc67a70a5001cc16162","1.3","5df532463a2923001fde4f64",NULL,NULL
"2022-04-19T","4.57","598b2f86e3b1fa0010f0f8d4","2.92","5fb143a69b2df8001bb4a8e8","4.95","5fb65cc67a70a5001cc16162","1.2","5df532463a2923001fde4f64",NULL,NULL
"2022-04-21T",NULL,NULL,"9.3","5fb143a69b2df8001bb4a8e8","39.5","5fb65cc67a70a5001cc16162","3.2","5df532463a2923001fde4f64","4.8","5fbed0927a70a5001c80494f"
"2022-04-21T",NULL,NULL,"9.3","5fb143a69b2df8001bb4a8e8","39.5","5fb65cc67a70a5001cc16162","3.4","5df532463a2923001fde4f64","4.8","5fbed0927a70a5001c80494f"
"2022-04-23T","4","598b2f86e3b1fa0010f0f8d4","21.23","5fb143a69b2df8001bb4a8e8","6.65","5fb65cc67a70a5001cc16162","3.2","5df532463a2923001fde4f64","9.27","5fbed0927a70a5001c80494f"
"2022-04-23T","4","598b2f86e3b1fa0010f0f8d4","21.23","5fb143a69b2df8001bb4a8e8","6.65","5fb65cc67a70a5001cc16162","3.2","5df532463a2923001fde4f64","9.27","5fbed0927a70a5001c80494f"
"2022-04-25T","16.53","598b2f86e3b1fa0010f0f8d4","8.25","5fb143a69b2df8001bb4a8e8","23.85","5fb65cc67a70a5001cc16162","3","5df532463a2923001fde4f64","1.63","5fbed0927a70a5001c80494f"
"2022-04-25T","16.53","598b2f86e3b1fa0010f0f8d4","8.25","5fb143a69b2df8001bb4a8e8","23.85","5fb65cc67a70a5001cc16162","3.2","5df532463a2923001fde4f64","1.63","5fbed0927a70a5001c80494f"
"2022-04-27T","11","598b2f86e3b1fa0010f0f8d4","5.43","5fb143a69b2df8001bb4a8e8","7.95","5fb65cc67a70a5001cc16162","2.3","5df532463a2923001fde4f64","1.75","5fbed0927a70a5001c80494f"
"2022-04-27T","11","598b2f86e3b1fa0010f0f8d4","5.43","5fb143a69b2df8001bb4a8e8","7.95","5fb65cc67a70a5001cc16162","3.8","5df532463a2923001fde4f64","1.75","5fbed0927a70a5001c80494f"
"2022-04-29T","7.17","598b2f86e3b1fa0010f0f8d4","5.55","5fb143a69b2df8001bb4a8e8","9.07","5fb65cc67a70a5001cc16162","3.1","5df532463a2923001fde4f64","2.1","5fbed0927a70a5001c80494f"
"2022-04-29T","7.17","598b2f86e3b1fa0010f0f8d4","5.55","5fb143a69b2df8001bb4a8e8","9.07","5fb65cc67a70a5001cc16162","2.7","5df532463a2923001fde4f64","2.1","5fbed0927a70a5001c80494f"
"2022-05-01T",NULL,NULL,"10.98","5fb143a69b2df8001bb4a8e8","6.4","5fb65cc67a70a5001cc16162","1.6","5df532463a2923001fde4f64",NULL,NULL
