"createdAt","value_1","id_1","value_2","id_2","value_3","id_3","value_4","id_4","value_5","id_5"
"2022-04-07T","0.7","598b2f86e3b1fa0010f0f8d4","0.77","5fb143a69b2df8001bb4a8e8","1","5fb65cc67a70a5001cc16162","0.1","5df532463a2923001fde4f64","0.52","5fbed0927a70a5001c80494f"
"2022-04-07T","0.7","598b2f86e3b1fa0010f0f8d4","0.77","5fb143a69b2df8001bb4a8e8","1","5fb65cc67a70a5001cc16162","0.1","5df532463a2923001fde4f64","0.52","5fbed0927a70a5001c80494f"
"2022-04-09T","2.9","598b2f86e3b1fa0010f0f8d4","2.8","5fb143a69b2df8001bb4a8e8","2.33","5fb65cc67a70a5001cc16162","0.5","5df532463a2923001fde4f64","2.78","5fbed0927a70a5001c80494f"
"2022-04-09T","2.9","598b2f86e3b1fa0010f0f8d4","2.8","5fb143a69b2df8001bb4a8e8","2.33","5fb65cc67a70a5001cc16162","0.4","5df532463a2923001fde4f64","2.78","5fbed0927a70a5001c80494f"
"2022-04-11T","3","598b2f86e3b1fa0010f0f8d4","2.33","5fb143a69b2df8001bb4a8e8",NULL,NULL,"0.9","5df532463a2923001fde4f64","6.82","5fbed0927a70a5001c80494f"
"2022-04-11T","3","598b2f86e3b1fa0010f0f8d4","2.33","5fb143a69b2df8001bb4a8e8",NULL,NULL,"0.4","5df532463a2923001fde4f64","6.82","5fbed0927a70a5001c80494f"
"2022-04-13T","2.27","598b2f86e3b1fa0010f0f8d4","1.6","5fb143a69b2df8001bb4a8e8","4.9","5fb65cc67a70a5001cc16162","6.4","5df532463a2923001fde4f64","1.73","5fbed0927a70a5001c80494f"
"2022-04-13T","2.27","598b2f86e3b1fa0010f0f8d4","1.6","5fb143a69b2df8001bb4a8e8","4.9","5fb65cc67a70a5001cc16162","6.9","5df532463a2923001fde4f64","1.73","5fbed0927a70a5001c80494f"
"2022-04-15T","8.33","598b2f86e3b1fa0010f0f8d4",NULL,NULL,"4.85","5fb65cc67a70a5001cc16162","9.6","5df532463a2923001fde4f64",NULL,NULL
"2022-04-15T","8.33","598b2f86e3b1fa0010f0f8d4",NULL,NULL,"4.85","5fb65cc67a70a5001cc16162","5.3","5df532463a2923001fde4f64",NULL,NULL
"2022-04-17T","1.27","598b2f86e3b1fa0010f0f8d4","1.5","5fb143a69b2df8001bb4a8e8","2.55","5fb65cc67a70a5001cc16162","3.1","5df532463a2923001fde4f64","0.8","5fbed0927a70a5001c80494f"
"2022-04-17T","1.27","598b2f86e3b1fa0010f0f8d4","1.5","5fb143a69b2df8001bb4a8e8","2.55","5fb65cc67a70a5001cc16162","2.7","5df532463a2923001fde4f64","0.8","5fbed0927a70a5001c80494f"
"2022-04-19T","3.23","598b2f86e3b1fa0010f0f8d4","1.5","5fb143a69b2df8001bb4a8e8","3.25","5fb65cc67a70a5001cc16162","0.6","5df532463a2923001fde4f64",NULL,NULL
"2022-04-19T","3.23","598b2f86e3b1fa0010f0f8d4","1.5","5fb143a69b2df8001bb4a8e8","3.25","5fb65cc67a70a5001cc16162","0.7","5df532463a2923001fde4f64",NULL,NULL
"2022-04-21T",NULL,NULL,"5.07","5fb143a69b2df8001bb4a8e8","21.77","5fb65cc67a70a5001cc16162","2.9","5df532463a2923001fde4f64","4.4","5fbed0927a70a5001c80494f"
"2022-04-21T",NULL,NULL,"5.07","5fb143a69b2df8001bb4a8e8","21.77","5fb65cc67a70a5001cc16162","2.5","5df532463a2923001fde4f64","4.4","5fbed0927a70a5001c80494f"
"2022-04-23T","3.6","598b2f86e3b1fa0010f0f8d4","13.48","5fb143a69b2df8001bb4a8e8","4.2","5fb65cc67a70a5001cc16162","3","5df532463a2923001fde4f64","8.27","5fbed0927a70a5001c80494f"
"2022-04-23T","3.6","598b2f86e3b1fa0010f0f8d4","13.48","5fb143a69b2df8001bb4a8e8","4.2","5fb65cc67a70a5001cc16162","3","5df532463a2923001fde4f64","8.27","5fbed0927a70a5001c80494f"
"2022-04-25T","14.8","598b2f86e3b1fa0010f0f8d4","3.4","5fb143a69b2df8001bb4a8e8","14.73","5fb65cc67a70a5001cc16162","2.2","5df532463a2923001fde4f64","1.52","5fbed0927a70a5001c80494f"
"2022-04-25T","14.8","598b2f86e3b1fa0010f0f8d4","3.4","5fb143a69b2df8001bb4a8e8","14.73","5fb65cc67a70a5001cc16162","2.5","5df532463a2923001fde4f64","1.52","5fbed0927a70a5001c80494f"
"2022-04-27T","8.6","598b2f86e3b1fa0010f0f8d4","3.1","5fb143a69b2df8001bb4a8e8","6","5fb65cc67a70a5001cc16162","1.3","5df532463a2923001fde4f64","1.58","5fbed0927a70a5001c80494f"
"2022-04-27T","8.6","598b2f86e3b1fa0010f0f8d4","3.1","5fb143a69b2df8001bb4a8e8","6","5fb65cc67a70a5001cc16162","1.3","5df532463a2923001fde4f64","1.58","5fbed0927a70a5001c80494f"
"2022-04-29T","5.4","598b2f86e3b1fa0010f0f8d4","4.2","5fb143a69b2df8001bb4a8e8","3.35","5fb65cc67a70a5001cc16162","1.3","5df532463a2923001fde4f64","1.85","5fbed0927a70a5001c80494f"
"2022-04-29T","5.4","598b2f86e3b1fa0010f0f8d4","4.2","5fb143a69b2df8001bb4a8e8","3.35","5fb65cc67a70a5001cc16162","0.9","5df532463a2923001fde4f64","1.85","5fbed0927a70a5001c80494f"
"2022-05-01T",NULL,NULL,"7.82","5fb143a69b2df8001bb4a8e8","4","5fb65cc67a70a5001cc16162","1.1","5df532463a2923001fde4f64",NULL,NULL
"2022-05-01T",NULL,NULL,"7.82","5fb143a69b2df8001bb4a8e8","4","5fb65cc67a70a5001cc16162","1","5df532463a2923001fde4f64",NULL,NULL
"2022-05-03T","6.3","598b2f86e3b1fa0010f0f8d4","7.67","5fb143a69b2df8001bb4a8e8","6.95","5fb65cc67a70a5001cc16162","0.6","5df532463a2923001fde4f64","2.35","5fbed0927a70a5001c80494f"
"2022-05-03T","6.3","598b2f86e3b1fa0010f0f8d4","7.67","5fb143a69b2df8001bb4a8e8","6.95","5fb65cc67a70a5001cc16162","0.4","5df532463a2923001fde4f64","2.35","5fbed0927a70a5001c80494f"
"2022-05-05T",NULL,NULL,"5.97","5fb143a69b2df8001bb4a8e8","9.48","5fb65cc67a70a5001cc16162","3.8","5df532463a2923001fde4f64","6.22","5fbed0927a70a5001c80494f"
"2022-05-05T",NULL,NULL,"5.97","5fb143a69b2df8001bb4a8e8","9.48","5fb65cc67a70a5001cc16162","3.1","5df532463a2923001fde4f64","6.22","5fbed0927a70a5001c80494f"
"2022-05-07T","2.23","598b2f86e3b1fa0010f0f8d4","5.93","5fb143a69b2df8001bb4a8e8","1.33","5fb65cc67a70a5001cc16162","1.5","5df532463a2923001fde4f64","2.72","5fbed0927a70a5001c80494f"
"2022-05-07T","2.23","598b2f86e3b1fa0010f0f8d4","5.93","5fb143a69b2df8001bb4a8e8","1.33","5fb65cc67a70a5001cc16162","1.3","5df532463a2923001fde4f64","2.72","5fbed0927a70a5001c80494f"
"2022-05-09T","4.33","598b2f86e3b1fa0010f0f8d4",NULL,NULL,"2.4","5fb65cc67a70a5001cc16162","0.9","5df532463a2923001fde4f64","2.72","5fbed0927a70a5001c80494f"
"2022-05-09T","4.33","598b2f86e3b1fa0010f0f8d4",NULL,NULL,"2.4","5fb65cc67a70a5001cc16162","1.1","5df532463a2923001fde4f64","2.72","5fbed0927a70a5001c80494f"
"2022-05-11T","2.83","598b2f86e3b1fa0010f0f8d4","4.3","5fb143a69b2df8001bb4a8e8","4.47","5fb65cc67a70a5001cc16162","2.2","5df532463a2923001fde4f64","2.25","5fbed0927a70a5001c80494f"
"2022-09-13T","1.8","598b2f86e3b1fa0010f0f8d4","0.8","5fb143a69b2df8001bb4a8e8","4.1","5fb65cc67a70a5001cc16162","2.2","5df532463a2923001fde4f64",NULL,NULL
"2022-05-11T","2.83","598b2f86e3b1fa0010f0f8d4","4.3","5fb143a69b2df8001bb4a8e8","4.47","5fb65cc67a70a5001cc16162","2.2","5df532463a2923001fde4f64","2.25","5fbed0927a70a5001c80494f"
"2022-05-13T",NULL,NULL,"4.2","5fb143a69b2df8001bb4a8e8","2.22","5fb65cc67a70a5001cc16162","0.9","5df532463a2923001fde4f64",NULL,NULL
"2022-05-13T",NULL,NULL,"4.2","5fb143a69b2df8001bb4a8e8","2.22","5fb65cc67a70a5001cc16162","1","5df532463a2923001fde4f64",NULL,NULL
"2022-05-15T",NULL,NULL,"3.13","5fb143a69b2df8001bb4a8e8",NULL,NULL,"0.9","5df532463a2923001fde4f64","1.6","5fbed0927a70a5001c80494f"
"2022-05-15T",NULL,NULL,"3.13","5fb143a69b2df8001bb4a8e8",NULL,NULL,"0.9","5df532463a2923001fde4f64","1.6","5fbed0927a70a5001c80494f"
"2022-05-17T","1.73","598b2f86e3b1fa0010f0f8d4",NULL,NULL,NULL,NULL,"0.9","5df532463a2923001fde4f64","1.4","5fbed0927a70a5001c80494f"
"2022-05-17T","1.73","598b2f86e3b1fa0010f0f8d4",NULL,NULL,NULL,NULL,"1.2","5df532463a2923001fde4f64","1.4","5fbed0927a70a5001c80494f"
"2022-05-19T","2.93","598b2f86e3b1fa0010f0f8d4","4.6","5fb143a69b2df8001bb4a8e8","1.3","5fb65cc67a70a5001cc16162","1.1","5df532463a2923001fde4f64","1.77","5fbed0927a70a5001c80494f"
"2022-05-19T","2.93","598b2f86e3b1fa0010f0f8d4","4.6","5fb143a69b2df8001bb4a8e8","1.3","5fb65cc67a70a5001cc16162","1.3","5df532463a2923001fde4f64","1.77","5fbed0927a70a5001c80494f"
"2022-05-21T","0.83","598b2f86e3b1fa0010f0f8d4","1","5fb143a69b2df8001bb4a8e8",NULL,NULL,"2.2","5df532463a2923001fde4f64","0.6","5fbed0927a70a5001c80494f"
"2022-05-21T","0.83","598b2f86e3b1fa0010f0f8d4","1","5fb143a69b2df8001bb4a8e8",NULL,NULL,"2.1","5df532463a2923001fde4f64","0.6","5fbed0927a70a5001c80494f"
"2022-05-23T",NULL,NULL,"2.17","5fb143a69b2df8001bb4a8e8","1.75","5fb65cc67a70a5001cc16162","0.2","5df532463a2923001fde4f64","2.13","5fbed0927a70a5001c80494f"
"2022-05-23T",NULL,NULL,"2.17","5fb143a69b2df8001bb4a8e8","1.75","5fb65cc67a70a5001cc16162","0.2","5df532463a2923001fde4f64","2.13","5fbed0927a70a5001c80494f"
"2022-05-25T",NULL,NULL,"1.33","5fb143a69b2df8001bb4a8e8","1.02","5fb65cc67a70a5001cc16162","0.5","5df532463a2923001fde4f64","0.68","5fbed0927a70a5001c80494f"
"2022-05-25T",NULL,NULL,"1.33","5fb143a69b2df8001bb4a8e8","1.02","5fb65cc67a70a5001cc16162","0.9","5df532463a2923001fde4f64","0.68","5fbed0927a70a5001c80494f"
"2022-05-27T","1.5","598b2f86e3b1fa0010f0f8d4",NULL,NULL,NULL,NULL,"1.3","5df532463a2923001fde4f64",NULL,NULL
"2022-05-27T","1.5","598b2f86e3b1fa0010f0f8d4",NULL,NULL,NULL,NULL,"1.1","5df532463a2923001fde4f64",NULL,NULL
"2022-05-29T","1.7","598b2f86e3b1fa0010f0f8d4","2","5fb143a69b2df8001bb4a8e8","1.38","5fb65cc67a70a5001cc16162","0.5","5df532463a2923001fde4f64","0.73","5fbed0927a70a5001c80494f"
"2022-05-29T","1.7","598b2f86e3b1fa0010f0f8d4","2","5fb143a69b2df8001bb4a8e8","1.38","5fb65cc67a70a5001cc16162","0.6","5df532463a2923001fde4f64","0.73","5fbed0927a70a5001c80494f"
"2022-06-01T",NULL,NULL,"2.45","5fb143a69b2df8001bb4a8e8","1.57","5fb65cc67a70a5001cc16162","0.4","5df532463a2923001fde4f64","1.95","5fbed0927a70a5001c80494f"
"2022-06-01T",NULL,NULL,"2.45","5fb143a69b2df8001bb4a8e8","1.57","5fb65cc67a70a5001cc16162","0.3","5df532463a2923001fde4f64","1.95","5fbed0927a70a5001c80494f"
"2022-06-03T","2.5","598b2f86e3b1fa0010f0f8d4",NULL,NULL,"1.2","5fb65cc67a70a5001cc16162","0.4","5df532463a2923001fde4f64","3.33","5fbed0927a70a5001c80494f"
"2022-06-03T","2.5","598b2f86e3b1fa0010f0f8d4",NULL,NULL,"1.2","5fb65cc67a70a5001cc16162","0.4","5df532463a2923001fde4f64","3.33","5fbed0927a70a5001c80494f"
"2022-06-05T","1.83","598b2f86e3b1fa0010f0f8d4",NULL,NULL,NULL,NULL,"1.8","5df532463a2923001fde4f64","2.63","5fbed0927a70a5001c80494f"
"2022-06-05T","1.83","598b2f86e3b1fa0010f0f8d4",NULL,NULL,NULL,NULL,"1.9","5df532463a2923001fde4f64","2.63","5fbed0927a70a5001c80494f"
"2022-06-07T","0.7","598b2f86e3b1fa0010f0f8d4","1.2","5fb143a69b2df8001bb4a8e8","4.63","5fb65cc67a70a5001cc16162","0.3","5df532463a2923001fde4f64","0.5","5fbed0927a70a5001c80494f"
"2022-06-07T","0.7","598b2f86e3b1fa0010f0f8d4","1.2","5fb143a69b2df8001bb4a8e8","4.63","5fb65cc67a70a5001cc16162","0.3","5df532463a2923001fde4f64","0.5","5fbed0927a70a5001c80494f"
"2022-06-09T","2.87","598b2f86e3b1fa0010f0f8d4","1.4","5fb143a69b2df8001bb4a8e8","5.78","5fb65cc67a70a5001cc16162","0.7","5df532463a2923001fde4f64",NULL,NULL
"2022-06-09T","2.87","598b2f86e3b1fa0010f0f8d4","1.4","5fb143a69b2df8001bb4a8e8","5.78","5fb65cc67a70a5001cc16162","0.3","5df532463a2923001fde4f64",NULL,NULL
"2022-06-11T","1.67","598b2f86e3b1fa0010f0f8d4","2.5","5fb143a69b2df8001bb4a8e8","1.4","5fb65cc67a70a5001cc16162","0.7","5df532463a2923001fde4f64",NULL,NULL
"2022-06-11T","1.67","598b2f86e3b1fa0010f0f8d4","2.5","5fb143a69b2df8001bb4a8e8","1.4","5fb65cc67a70a5001cc16162","0.8","5df532463a2923001fde4f64",NULL,NULL
"2022-06-13T","1.27","598b2f86e3b1fa0010f0f8d4",NULL,NULL,"1.8","5fb65cc67a70a5001cc16162","1.1","5df532463a2923001fde4f64",NULL,NULL
"2022-06-13T","1.27","598b2f86e3b1fa0010f0f8d4",NULL,NULL,"1.8","5fb65cc67a70a5001cc16162","0.8","5df532463a2923001fde4f64",NULL,NULL
"2022-06-15T",NULL,NULL,NULL,NULL,"1.35","5fb65cc67a70a5001cc16162","1.4","5df532463a2923001fde4f64","0.9","5fbed0927a70a5001c80494f"
"2022-06-15T",NULL,NULL,NULL,NULL,"1.35","5fb65cc67a70a5001cc16162","0.9","5df532463a2923001fde4f64","0.9","5fbed0927a70a5001c80494f"
"2022-06-17T","0.9","598b2f86e3b1fa0010f0f8d4",NULL,NULL,NULL,NULL,"0.5","5df532463a2923001fde4f64",NULL,NULL
"2022-06-17T","0.9","598b2f86e3b1fa0010f0f8d4",NULL,NULL,NULL,NULL,"0.4","5df532463a2923001fde4f64",NULL,NULL
"2022-06-19T",NULL,NULL,"7","5fb143a69b2df8001bb4a8e8",NULL,NULL,"2.2","5df532463a2923001fde4f64","5.32","5fbed0927a70a5001c80494f"
"2022-06-19T",NULL,NULL,"7","5fb143a69b2df8001bb4a8e8",NULL,NULL,"2.3","5df532463a2923001fde4f64","5.32","5fbed0927a70a5001c80494f"
"2022-06-21T","2","598b2f86e3b1fa0010f0f8d4","6.53","5fb143a69b2df8001bb4a8e8","1.58","5fb65cc67a70a5001cc16162","0.6","5df532463a2923001fde4f64","2.5","5fbed0927a70a5001c80494f"
"2022-06-21T","2","598b2f86e3b1fa0010f0f8d4","6.53","5fb143a69b2df8001bb4a8e8","1.58","5fb65cc67a70a5001cc16162","0.7","5df532463a2923001fde4f64","2.5","5fbed0927a70a5001c80494f"
"2022-06-23T","3.33","598b2f86e3b1fa0010f0f8d4","2.5","5fb143a69b2df8001bb4a8e8","1.63","5fb65cc67a70a5001cc16162","0.3","5df532463a2923001fde4f64","1.55","5fbed0927a70a5001c80494f"
"2022-06-23T","3.33","598b2f86e3b1fa0010f0f8d4","2.5","5fb143a69b2df8001bb4a8e8","1.63","5fb65cc67a70a5001cc16162","0.4","5df532463a2923001fde4f64","1.55","5fbed0927a70a5001c80494f"
"2022-06-25T",NULL,NULL,NULL,NULL,"13.32","5fb65cc67a70a5001cc16162","4.1","5df532463a2923001fde4f64",NULL,NULL
"2022-06-25T",NULL,NULL,NULL,NULL,"13.32","5fb65cc67a70a5001cc16162","4.1","5df532463a2923001fde4f64",NULL,NULL
"2022-06-27T","3.3","598b2f86e3b1fa0010f0f8d4",NULL,NULL,"1.9","5fb65cc67a70a5001cc16162","0.7","5df532463a2923001fde4f64","1","5fbed0927a70a5001c80494f"
"2022-06-27T","3.3","598b2f86e3b1fa0010f0f8d4",NULL,NULL,"1.9","5fb65cc67a70a5001cc16162","0.9","5df532463a2923001fde4f64","1","5fbed0927a70a5001c80494f"
"2022-06-29T","2.27","598b2f86e3b1fa0010f0f8d4","4.28","5fb143a69b2df8001bb4a8e8","19.42","5fb65cc67a70a5001cc16162","0.4","5df532463a2923001fde4f64","1.8","5fbed0927a70a5001c80494f"
