"createdAt","value_1","id_1","value_2","id_2","value_3","id_3","value_4","id_4","value_5","id_5"
"2022-04-07T","2.6","5ac158fb850005001bae6beb",NULL,NULL,"6.65","5fa5cae667d8a1001b1e3fe6","4.2","5fa6e60b67d8a1001b969275","4.13","5fba6fe67a70a5001c8c169c"
"2022-04-07T","2.6","5ac158fb850005001bae6beb",NULL,NULL,"6.65","5fa5cae667d8a1001b1e3fe6","4.2","5fa6e60b67d8a1001b969275","4.8","5fba6fe67a70a5001c8c169c"
"2022-04-07T","2.6","5ac158fb850005001bae6beb",NULL,NULL,"6.65","5fa5cae667d8a1001b1e3fe6","4.2","5fa6e60b67d8a1001b969275","4.7","5fba6fe67a70a5001c8c169c"
"2022-04-09T","4.23","5ac158fb850005001bae6beb","1.83","5fc261f13a7437001bda419a","8.5","5fa5cae667d8a1001b1e3fe6","2.53","5fa6e60b67d8a1001b969275","5.07","5fba6fe67a70a5001c8c169c"
"2022-04-09T","4.23","5ac158fb850005001bae6beb","1.83","5fc261f13a7437001bda419a","8.5","5fa5cae667d8a1001b1e3fe6","2.53","5fa6e60b67d8a1001b969275","5.6","5fba6fe67a70a5001c8c169c"
"2022-04-09T","4.23","5ac158fb850005001bae6beb","1.83","5fc261f13a7437001bda419a","8.5","5fa5cae667d8a1001b1e3fe6","2.53","5fa6e60b67d8a1001b969275","6.2","5fba6fe67a70a5001c8c169c"
"2022-04-11T","5.07","5ac158fb850005001bae6beb",NULL,NULL,"9.82","5fa5cae667d8a1001b1e3fe6",NULL,NULL,"5.82","5fba6fe67a70a5001c8c169c"
"2022-04-11T","5.07","5ac158fb850005001bae6beb",NULL,NULL,"9.82","5fa5cae667d8a1001b1e3fe6",NULL,NULL,"4.4","5fba6fe67a70a5001c8c169c"
"2022-04-11T","5.07","5ac158fb850005001bae6beb",NULL,NULL,"9.82","5fa5cae667d8a1001b1e3fe6",NULL,NULL,"5","5fba6fe67a70a5001c8c169c"
"2022-04-13T","28.07","5ac158fb850005001bae6beb","9.35","5fc261f13a7437001bda419a","18.65","5fa5cae667d8a1001b1e3fe6",NULL,NULL,"13.77","5fba6fe67a70a5001c8c169c"
"2022-04-13T","28.07","5ac158fb850005001bae6beb","9.35","5fc261f13a7437001bda419a","18.65","5fa5cae667d8a1001b1e3fe6",NULL,NULL,"15.48","5fba6fe67a70a5001c8c169c"
"2022-04-15T",NULL,NULL,"7.75","5fc261f13a7437001bda419a","10.77","5fa5cae667d8a1001b1e3fe6",NULL,NULL,"6.9","5fba6fe67a70a5001c8c169c"
"2022-04-15T",NULL,NULL,"7.75","5fc261f13a7437001bda419a","10.77","5fa5cae667d8a1001b1e3fe6",NULL,NULL,"7.7","5fba6fe67a70a5001c8c169c"
"2022-04-15T",NULL,NULL,"7.75","5fc261f13a7437001bda419a","10.77","5fa5cae667d8a1001b1e3fe6",NULL,NULL,"8.75","5fba6fe67a70a5001c8c169c"
"2022-04-17T","1.7","5ac158fb850005001bae6beb",NULL,NULL,"7.43","5fa5cae667d8a1001b1e3fe6","4.37","5fa6e60b67d8a1001b969275","4.28","5fba6fe67a70a5001c8c169c"
"2022-04-17T","1.7","5ac158fb850005001bae6beb",NULL,NULL,"7.43","5fa5cae667d8a1001b1e3fe6","4.37","5fa6e60b67d8a1001b969275","3.45","5fba6fe67a70a5001c8c169c"
"2022-04-19T","3.33","5ac158fb850005001bae6beb","4.95","5fc261f13a7437001bda419a",NULL,NULL,NULL,NULL,"7.18","5fba6fe67a70a5001c8c169c"
"2022-04-19T","3.33","5ac158fb850005001bae6beb","4.95","5fc261f13a7437001bda419a",NULL,NULL,NULL,NULL,"6.6","5fba6fe67a70a5001c8c169c"
"2022-04-21T","23.63","5ac158fb850005001bae6beb","6.8","5fc261f13a7437001bda419a","16.95","5fa5cae667d8a1001b1e3fe6","5.8","5fa6e60b67d8a1001b969275","3.4","5fba6fe67a70a5001c8c169c"
